primary_genre,title,origin,genres,director,main_character,bechdel_passed,LGBTQ,Disability,Elderly,AI,Animal,plot,kwords,popularity
Romance,Your Fault,"['US', 'ES']","['Romance', 'Drama']",male,female,,FALSE,FALSE,FALSE,FALSE,FALSE,노아와 닉의 사랑은 부모의 이별 시도에도 불구하고 변함없이 변함없는 듯합니다. 하지만 닉의 취직과 닉의 대학 입학은 두 사람의 관계와 라이스터 가족의 근간을 뒤흔들 새로운 인연들을 만들어냅니다.,"['소설 또는 책 기반', '자살 시도', '속편', '정신 건강', '로맨스 드라마']",46.9636
Animation,Inside Out 2,['US'],"['Animation', 'Adventure', 'Comedy', 'Family']",male,female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"십 대 소녀 라일리의 정신 본부가 예상치 못한 새로운 감정, 바로 새로운 감정을 위한 공간을 마련하기 위해 갑작스럽게 무너지고 있습니다! 기쁨, 슬픔, 분노, 두려움, 혐오는 오랫동안 성공적으로 운영되어 왔지만, 불안이 나타나면 어떻게 해야 할지 몰라 당황합니다. 그리고 라일리만 그런 게 아닌 것 같습니다.","['슬픔', '혐오', '속편', '컴퓨터 애니메이션', '십대 소녀', '두려움', '분노', '질투', '크레딧 후의 따끔거림', '크레딧 중의 따끔거림', '감정', '당혹감', '불안', '기쁨', '불안', '클리셰']",41.8168
Horror,The Substance,"['GB', 'US']","['Horror', 'Science Fiction']",female,female,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"인기가 시들해진 유명인이 암시장에서 유통되는 약물을 사용하기로 결심한다. 이 약물은 세포 복제 물질로, 일시적으로 자신을 더 젊고 나은 사람으로 만들어준다.","[""새해 전야"", '자본주의', '암시장', '정체성', '아름다움', '풍자', '노화', '유명인', '여주인공', '로스앤젤레스, 캘리포니아', '~였다', '에어로빅', '손상', '여성 감독', '화난', '미의 기준', '불안한 여성', '독성 남성성', '마약', '바디호러', '여성의 분노', '청춘', '여배우', '익살스러운', '냉소적인']",42.6138
Drama,Victoria,['IN'],['Drama'],unknown,female,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"교외 미용실에서 일하는 젊은 미용사 빅토리아는 보수적인 가톨릭 신자인 부모님과의 격렬한 갈등 끝에 힌두교 남자친구와 함께 도망치기로 결심합니다. 혼란스러운 상황 속에서, 이웃 한 명이 그녀에게 세인트 조지 교회 축제에 쓰일 제물 수탉을 미용실 안에 임시로 두어 달라고 부탁합니다. 수탉의 장난, 예상치 못한 손님들, 그리고 남자친구의 불안한 마음에 빅토리아는 갈등하는 감정에 휩싸이며, 강렬한 개인적, 영적 계시를 경험하게 됩니다.",[],26.5841
Animation,Kung Fu Panda 4,['US'],"['Animation', 'Family', 'Action', 'Comedy', 'Adventure', 'Fantasy']",male,male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"포는 평화의 계곡의 영적 지도자가 되기 위해 준비하고 있지만, 용의 전사 자리를 대신할 사람이 필요합니다. 그래서 그는 그 자리에 새로운 쿵푸 수련생을 훈련시키고, 과거의 악당을 소환하는 카멜레온이라는 악당을 만나게 됩니다.","['무술', '쿵푸', '중국', '악당', '후속작', '판다', '의인화', '카멜레온', '여악당']",42.5541
Romance,Ask Me What You Want,['ES'],"['Romance', 'Drama']",female,female,,FALSE,FALSE,FALSE,FALSE,FALSE,"아버지가 돌아가신 후, 에릭 지머만은 회사 지사들을 관리하기 위해 스페인으로 향합니다. 마드리드에서 그는 주디스에게 반하고, 탐험으로 가득한 강렬하고 에로틱한 관계를 맺습니다. 하지만 에릭은 자신의 비밀이 두 사람의 관계를 끝낼까 봐 두려워합니다.","['스페인', '소설이나 책을 원작으로 한', '여성 감독', '에로틱 로맨스', '흥분된', '스페인 영화']",42.8109
Action,Kraven the Hunter,['US'],"['Action', 'Adventure', 'Thriller']",male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,"크레이븐 크래비노프와 무자비한 갱스터 아버지 니콜라이의 복잡한 관계는 그를 잔혹한 결과를 초래하는 복수의 길로 인도하며, 이를 통해 그는 세계 최고의 사냥꾼일 뿐만 아니라 가장 두려운 사냥꾼 중 하나가 됩니다.","['헌터', '슈퍼히어로', '악당', '만화 기반', '슈퍼악당', '반영웅', '강렬한', '감탄하는', '적대적인', '불길한']",42.1908
Drama,Wicked,['US'],"['Drama', 'Romance', 'Fantasy']",male,female,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"오즈의 나라에서 소외되고 오해받는 녹색 피부의 엘파바는 쉬즈 대학에서 인기 있는 귀족 글린다와 같은 방을 써야 하며, 둘의 예상치 못한 우정은 서쪽의 선한 마녀 글린다와 사악한 마녀로서 각자의 운명을 이루기 시작하면서 시험을 받게 됩니다.","['마녀', '춤', '소설이나 책에 기반한', '대학', '소원', '뮤지컬', '여성의 우정', '괴롭힘', '연극이나 뮤지컬에 기반한', '유명인', '프리퀄', '가수', '노래', '부패한 정치인', '출산 중 사망', '판타지 세계', '마법사', '중력', '차별', '배척', '휠체어를 탄 여성', '뮤지컬 코미디', '자매 관계', '소속감', '사랑', '판타지', '극적인', '입체 영화', '로맨틱 판타지', '로맨틱한', '변덕스러운', '당황스러운', '진부한', '동정심 많은', '흥분된', '익숙한', '두려운', '우스꽝스러운']",39.2137
Action,Gladiator II,['US'],"['Action', 'Adventure', 'Drama']",male,male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"존경받는 영웅 막시무스가 삼촌의 손에 죽음을 목격한 지 수년 후, 루시우스는 로마를 철권통치하는 폭군 황제들에게 조국이 함락되자 어쩔 수 없이 콜로세움에 들어가게 됩니다. 마음속의 분노와 제국의 미래가 위태로운 가운데, 루시우스는 로마의 영광을 국민에게 돌려주기 위해 과거를 돌아보며 힘과 명예를 되찾아야 합니다.","['서사시', '검투사', '로마 제국', '고대 로마', '후속작', '사악한 폭군', '칼과 샌들', '칼싸움', '두 번째 부분', '오만한']",41.8346
Action,Devara: Part 1,['IN'],"['Action', 'Drama']",unknown,male,,FALSE,FALSE,FALSE,FALSE,FALSE,해안 지역 출신의 용감무쌍한 남자 데바라는 동족의 생명을 지키기 위해 험난한 바다로 향하는 위험한 여정을 시작합니다. 하지만 그의 동생 바이라가 자신도 모르게 그를 해칠 음모를 꾸미고 있습니다. 사건들이 전개되면서 데바라는 자신의 유산을 온화하고 소심한 아들 바라다에게 물려줍니다.,"['바다', '배', '홍해', '보트', '두려움', '전투', '겸손한', '칼', '배들', '폭력', '보트들']",40.2691
Animation,Flow,['LV'],"['Animation', 'Fantasy', 'Adventure']",male,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"대홍수로 인해 쫓겨난 외로운 고양이 한 마리가 다양한 종과 함께 배에서 피난처를 찾고, 변화된 세상에 적응하기 위한 어려움을 함께 헤쳐나가야 합니다.","['바다', '고양이', '보트', '디스토피아', '개', '유적', '홍수', '여우원숭이', '새', '3D 애니메이션', '대화 없음', '팀워크', '판타지', '카피바라', '모험', '애니메이션 영화', '래브라도', '고양이', '바다', '애니메이션', '새', '무성 영화', '개', '카피바라', '자연 재해', '재난']",37.4508
Horror,Saint Catherine,"['AR', 'NZ']",['Horror'],male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,고아가 된 소녀가 사탄 의식에서 구출되어 노숙 청소년을 위한 성 캐서린 연구소로 보내집니다. 그곳에서 그녀는 자신을 괴롭히는 악마들과 맞서면서 새로운 기술을 배우게 됩니다.,[],40.0738
Action,Amaran,['IN'],"['Action', 'Drama', 'Adventure', 'War']",male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,카슈미르 쇼피안 지역에서 대테러 임무 수행 중 비범한 용맹함을 보여준 인도 육군 장교 무쿤드 바라다라잔 소령의 영웅적 실화. 이 영화는 조국을 수호한 그의 용기와 아내 인두 레베카 바르게세의 헌신을 생생하게 담아냅니다.,"['소설이나 책을 바탕으로', '애정', '실화를 바탕으로', '순교자', '인도군', '테러 대응', '사랑', '2010년대', '인도 역사', '감탄', '희망', '실존 인물을 바탕으로', '아소카 차크라', '인도군']",34.7925
Science Fiction,Dune: Part Two,['US'],"['Science Fiction', 'Adventure']",male,male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,가족을 파괴한 음모자들에게 복수하기 위해 차니와 프레멘과 힘을 합치는 폴 아트레이드의 신화적인 여정을 따라가 보세요. 일생일대의 사랑과 우주의 운명 사이에서 선택의 기로에 선 폴은 오직 자신만이 예견할 수 있는 끔찍한 미래를 막기 위해 고군분투합니다.,"['서사시적', '소설이나 책을 바탕으로 한', '싸움', '정치', '모래 폭풍', '모래', '향신료', '선택받은 자', '컬트', '후속작', '로맨스', '비극', '먼 미래', '비극적인 영웅', '생물', '행성', '사막', '운명', '거대 벌레', '스페이스 오페라', '모래 언덕', '우화적', '메시아', '은총에서의 몰락', '복수', '보복적인', '경계하는', '종교적 우화', '거대 생물', '권력', '폭력', '모호한', '적대적인', '대담한', '경외감에 휩싸인', '과열된', '불길한 예감', '멜로드라마틱한']",46.1218
Horror,Alien: Romulus,['US'],"['Horror', 'Science Fiction']",male,female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,버려진 우주 정거장의 깊은 곳을 뒤지던 젊은 우주 식민지 개척자들은 우주에서 가장 무서운 생명체와 마주하게 됩니다.,"['외계 생명체', '후속작', '외계인', '우주', '외계인 접촉', '외계인 괴물', '외계인과의 만남', '우주선', '저온보관', '외계인 적대감', '우주선', '후속작', '모호한']",33.5358
Action,Red One,['US'],"['Action', 'Comedy', 'Fantasy']",male,male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"산타클로스(코드명: 레드 원)가 납치된 후, 북극의 보안 책임자는 세계에서 가장 악명 높은 추적자와 협력하여 전 세계를 누비며 액션으로 가득 찬 임무를 수행하여 크리스마스를 구해야 합니다.","['현상금 사냥꾼', '휴일', '납치', '산타클로스', '북극곰', '크리스마스', '액션 코미디', '크리스마스 이브', '패밀리 코미디']",29.4932
Action,Panda Plan,['CN'],"['Action', 'Comedy']",male,male,,FALSE,FALSE,FALSE,FALSE,TRUE,"세계적인 액션 스타 재키찬은 희귀한 아기 팬더의 입양식에 초대를 받지만, 국제 범죄 조직이 곰을 납치하려 하자 재키는 스턴트 기술을 이용해 곰을 구해야 합니다.","['보조원', '동물원', '판다', '슈퍼스타', '구조작업', '국제 슈퍼스타']",32.7576
Action,Bad Boys: Ride or Die,['US'],"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']",male,male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"죽은 전직 대위가 모함당한 후, 로리와 버넷은 그의 누명을 벗기 위해 노력하지만 결국 그들도 도망치게 됩니다.","['마이애미, 플로리다', '시퀄', '온 더 런', '경찰 형사', '버디 캅', '버디 코미디', '애프터크레딧 스팅어', '유쾌한']",28.6884
Animation,Memoir of a Snail,['AU'],"['Animation', 'Drama', 'Comedy']",male,female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,고아가 된 쌍둥이 오빠와 강제로 헤어지게 된 우울한 소녀는 혼란스러운 일상과 불행 속에서 자신감을 찾는 법을 배웁니다.,"['어려운 어린 시절', '아버지의 죽음', '스톱모션', '성인 애니메이션', '출산 중 사망', '이산 가족', '형제 자매 관계', '달팽이', '감상적인']",28.7661
Animation,"Miraculous World: London, At the Edge of Time",['FR'],"['Animation', 'Adventure', 'Action', 'Fantasy']",male,female,,FALSE,FALSE,FALSE,FALSE,FALSE,"끔찍한 운명으로부터 미래를 구하기 위해, 마리네뜨는 크로노버그가 되어 버니엑스와 힘을 합쳐 시간을 여행하는 정체불명의 적을 물리칩니다. 이 새로운 슈퍼빌런은 누구이며, 왜 마리네뜨의 비밀스러운 슈퍼히어로 정체를 폭로하는 데 집착하는 걸까요? 마리네뜨의 유일한 희망은 새로운 적을 물리쳐 레이디버그와 시간의 종말을 막는 것입니다!","['런던, 영국', '슈퍼히어로', '아이들', '로맨틱', '런던', '시간 여행', '기적', '펀닉스']",24.7568
Animation,given The Movie: To the Sea,['JP'],"['Animation', 'Romance']",female,male,,TRUE,FALSE,FALSE,FALSE,FALSE,"마후유는 밴드에서 자신의 자리를 의심하지만, 친숙한 얼굴이 그를 다시 무대로 데려올 불꽃이 될 수도 있다.","['도시', '록 음악', '만화 원작', '록 밴드', '애니메이션', '음악', '소년애(bl)']",22.4703
Drama,Oshi no Ko -The Final Act-,['JP'],"['Drama', 'Music', 'Fantasy']",male,female,,FALSE,FALSE,FALSE,FALSE,FALSE,산부인과 의사이자 아이돌 팬인 고로는 좋아하는 스타 아이가 갑작스럽게 활동을 중단하자 충격에 빠진다. 하지만 고로는 아이와 상식을 뛰어넘는 끈끈한 유대감을 맺게 될 줄은 꿈에도 몰랐다! 거짓말은 아이돌의 무기다!,"['초자연적', '환생', '리메이크', '만화 원작', '연예계', '세이넨', '연예인 숭배', '애니메이션 원작', '실사 리메이크', '아이돌 그룹', 'TV 시리즈 원작', '음악', '아이돌']",22.4137
Crime,Beating Hearts,"['BE', 'FR']","['Crime', 'Drama', 'Romance']",male,female,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"동네 반항아 십 대 소년 클로테르는 학교 친구 재키에게 반하지만, 갱단의 폭력으로 인해 더 어둡고 파괴적인 길로 접어든다. 몇 년간 헤어진 후, 운명의 장난을 치던 두 연인은 그들이 걸어온 모든 길이 결국 다시 하나로 이어진다는 사실을 깨닫는다.","['소설이나 책을 원작으로 한', '뮤지컬', '로맨틱 코미디', '향수적인']",21.4383
Fantasy,The Lord of the Rings: The War of the Rohirrim,['US'],"['Animation', 'Fantasy', 'Adventure', 'Action']",male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,아버지의 죽음에 대한 복수를 노리는 로한의 교활하고 반역적인 영주 울프의 갑작스러운 공격으로 로한의 왕 헬름 해머핸드와 그의 백성들은 고대 요새인 호른버그에서 대담한 최후의 저항을 하게 됩니다.,"['서사시적', '소설이나 책을 원작으로 한', '전편', '배신', '판타지 세계', '애니메이션', '전쟁', '괴로운', '희극적인', '서사적 판타지', '기병대']",22.136
Action,Apocalypse Z: The Beginning of the End,['ES'],"['Drama', 'Action', 'Horror']",male,male,,FALSE,FALSE,FALSE,FALSE,TRUE,"사람을 공격적인 생물로 변화시키는 광견병이 지구 전체에 퍼지자, 마넬은 고양이와 함께 집에 고립되어 지혜에 의지해 살아남는다. 하지만 곧 그들은 육지와 바다를 오가며 많은 위험을 피하면서 음식을 찾아 나서야 한다.","['소설이나 책 기반', '고양이', '인간과 동물의 관계', '스페인 갈리시아', '전염병 확산', '좀비', '이웃과 이웃의 관계', '좀비 종말', '트라우마를 겪은 남자']",24.1535
Thriller,Rich Flu,['ES'],['Thriller'],male,female,,FALSE,FALSE,FALSE,FALSE,FALSE,"이상한 질병이 지구상에서 가장 부유하고 영향력 있는 사람들을 죽입니다. 처음에는 억만장자, 그다음에는 백만장자, 그다음에는 점점 더 많은 사람들이 목숨을 잃습니다. 그리고 이 질병은 누구에게나 어떤 종류의 재산이든 앗아갈 위협을 가합니다. 전 세계가 공황 상태에 빠지면서, 사람들은 세상이 더 이상 원하지 않는 자산으로 시장을 가득 채우려 합니다.",[],19.8273
Action,Solo Leveling -ReAwakening-,['JP'],"['Action', 'Adventure', 'Fantasy', 'Animation']",male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,"10여 년 전, 세계를 연결하는 &#39;문&#39;이 나타나 초능력을 가진 &#39;헌터&#39;들을 깨운 후, 가장 약한 헌터 성진우는 이중 던전을 만나 미스터리한 퀘스트를 수락하고, 유일하게 레벨업에 성공하며 운명을 바꿔놓습니다. 1시즌의 핵심을 짚어보는 영상과, 많은 기대를 모았던 2시즌의 첫 두 에피소드를 단독으로 미리 볼 수 있는 특별한 영상이 함께 제공되어, 팬들에게는 잊지 못할 감동을 선사합니다.","['소설 또는 책 원작', '만화 원작', '편집본', 'TV 시리즈를 편집한 작품', '애니메이션', '웹툰 또는 웹코믹 원작']",23.5737
Horror,Stream,['ES'],['Horror'],unknown,unknown,,FALSE,FALSE,FALSE,FALSE,FALSE,"라이브 스트리밍 플랫폼에서 수천 명의 팔로워를 보유한 스트리머 크레이븐이 할로윈을 맞아 아주 특별한 스트리밍을 준비했습니다. 젊은 초자연 현상 수사관 그룹인 펜타그램의 영상을 보고 아무도 예상치 못한 반응은, 바로 이 라이브 경험이 그들 인생 최악의 밤으로 이어질 거라는 점입니다. 그리고 어쩌면... 마지막이 될지도 모르죠.",['발견된 영상'],24.3013
Action,"I, the Executioner",['KR'],"['Action', 'Crime']",male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,"베테랑 형사 서도철과 그의 팀은 범죄자를 끈질기게 추적하고, 신인 형사 박선우와 힘을 합쳐 국가를 혼란에 빠뜨린 연쇄 살인범을 추적합니다.","['속편', '경찰 추격전']",21.4961
Action,Godzilla x Kong: The New Empire,['US'],"['Action', 'Adventure', 'Science Fiction']",male,female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"폭발적인 대결 이후, 고질라와 콩은 우리 세계 속에 숨겨진 거대하고 알려지지 않은 위협에 맞서 다시 힘을 합쳐야 하며, 그들의 존재와 우리의 존재에 도전하게 됩니다.","['거대괴수', '시퀄', '공룡', '원숭이', '괴수', '판타지 월드', '거대원숭이', '고질라', '킹콩']",22.4432
Thriller,Conclave,['US'],"['Drama', 'Thriller']",male,male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"교황의 갑작스러운 서거 이후, 로렌스 추기경은 새 교황 선출이라는 은밀하고 오래된 의식을 관리하는 임무를 맡게 됩니다. 절차가 완료될 때까지 가톨릭 교회의 가장 강력한 지도자들과 함께 바티칸에 은둔한 로렌스는 교회의 몰락으로 이어질 수 있는 음모의 중심에 서게 됩니다.","['바티칸(성좌)', '교황', '종교', '선거', '로마 가톨릭 교회', '가톨릭교', '질문', '추기경', '교황 콩클라베', '가톨릭 군주']",22.5804
Horror,Nosferatu,['US'],"['Horror', 'Fantasy']",male,female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"괴로움에 시달리는 젊은 여성과 그녀에게 반한 무시무시한 뱀파이어 사이의 집착을 그린 고딕 소설로, 말할 수 없는 공포를 안겨줍니다.","['차가운', '소설이나 책을 바탕으로 한', '뱀파이어', '사체애', '에로티시즘', '빙의', '뷔르츠부르크', '리메이크', '고딕 호러', '욕망', '의문', '몽유병', '전염병', '19세기', '공포', '피를 마시는 것', '복잡한', '초자연적 공포', '시대극', '웅장한', '1830년대', '악몽', '극적인', '재미있는', '우울한']",21.7304
